[2026-08-05 11:41:41] [INFO] Script started. Mode: Cleanup
[2026-08-05 11:41:41] [INFO] Archived: C:\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\DismHost.exe -> C:\ProgramData\DWP\TempCleanup\Quarantine\b7633f31-9f8d-4f58-bf56-44796d97ce2d\C_\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\DismHost.exe
[2026-08-05 11:41:41] [INFO] Archived: C:\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\DismProv.dll -> C:\ProgramData\DWP\TempCleanup\Quarantine\b7633f31-9f8d-4f58-bf56-44796d97ce2d\C_\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\DismProv.dll
[2026-08-05 11:41:41] [INFO] Archived: C:\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\DmiProvider.dll -> C:\ProgramData\DWP\TempCleanup\Quarantine\b7633f31-9f8d-4f58-bf56-44796d97ce2d\C_\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\DmiProvider.dll
[2026-08-05 11:41:41] [INFO] Archived: C:\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\EdgeProvider.dll -> C:\ProgramData\DWP\TempCleanup\Quarantine\b7633f31-9f8d-4f58-bf56-44796d97ce2d\C_\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\EdgeProvider.dll
[2026-08-05 11:41:41] [INFO] Archived: C:\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\FfuProvider.dll -> C:\ProgramData\DWP\TempCleanup\Quarantine\b7633f31-9f8d-4f58-bf56-44796d97ce2d\C_\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\FfuProvider.dll
[2026-08-05 11:41:41] [INFO] Archived: C:\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\FolderProvider.dll -> C:\ProgramData\DWP\TempCleanup\Quarantine\b7633f31-9f8d-4f58-bf56-44796d97ce2d\C_\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\FolderProvider.dll
[2026-08-05 11:41:41] [INFO] Archived: C:\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\GenericProvider.dll -> C:\ProgramData\DWP\TempCleanup\Quarantine\b7633f31-9f8d-4f58-bf56-44796d97ce2d\C_\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\GenericProvider.dll
[2026-08-05 11:41:41] [INFO] Archived: C:\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\IBSProvider.dll -> C:\ProgramData\DWP\TempCleanup\Quarantine\b7633f31-9f8d-4f58-bf56-44796d97ce2d\C_\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\IBSProvider.dll
[2026-08-05 11:41:41] [INFO] Archived: C:\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\ImagingProvider.dll -> C:\ProgramData\DWP\TempCleanup\Quarantine\b7633f31-9f8d-4f58-bf56-44796d97ce2d\C_\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\ImagingProvider.dll
[2026-08-05 11:41:41] [INFO] Archived: C:\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\IntlProvider.dll -> C:\ProgramData\DWP\TempCleanup\Quarantine\b7633f31-9f8d-4f58-bf56-44796d97ce2d\C_\Users\labuser\AppData\Local\Temp\D137C3EB-600B-4845-A381-D8A24290F83B\IntlProvider.dll
